asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.658470094203949,0.05090665817260742,0.028805527836084366,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584782004356384,0.050904758274555206,0.02880832739174366,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584854125976562,0.0509096197783947,0.028819510713219643,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584834456443787,0.05091337114572525,0.02882874198257923,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584821343421936,0.05091569572687149,0.02884199097752571,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584791541099548,0.05091555416584015,0.028849467635154724,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584810018539429,0.0509161651134491,0.02885087952017784,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584792137145996,0.05091976374387741,0.02885875664651394,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584652066230774,0.050917621701955795,0.02886979468166828,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584593057632446,0.05091141536831856,0.028881391510367393,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584488749504089,0.050912044942379,0.028871262446045875,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584383249282837,0.05090683698654175,0.02887207455933094,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584294438362122,0.05090629309415817,0.028871428221464157,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584262847900391,0.05090348422527313,0.0288684144616127,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658414900302887,0.05089707300066948,0.028864359483122826,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584073305130005,0.05089624226093292,0.02886323258280754,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584017872810364,0.05089370161294937,0.02886008843779564,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658402144908905,0.05089648440480232,0.028868291527032852,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584004163742065,0.05089873820543289,0.02886340580880642,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584087014198303,0.05089777335524559,0.02885894849896431,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584063768386841,0.05089935660362244,0.02886497788131237,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584076285362244,0.050898853689432144,0.028870541602373123,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584011912345886,0.050904035568237305,0.028878791257739067,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584044098854065,0.05090232193470001,0.02888430282473564,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584038138389587,0.05090532824397087,0.02889050357043743,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584107875823975,0.0509057343006134,0.028897546231746674,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584137678146362,0.050907257944345474,0.02890370413661003,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584216952323914,0.050916638225317,0.02891034260392189,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584293842315674,0.050912413746118545,0.028910838067531586,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658428430557251,0.050909269601106644,0.028912000358104706,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584376692771912,0.05090656876564026,0.028912367299199104,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584355235099792,0.05090528354048729,0.028912611305713654,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584330797195435,0.050909508019685745,0.028913790360093117,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584369540214539,0.05090855434536934,0.028904128819704056,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584300994873047,0.050905149430036545,0.02890291064977646,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584230065345764,0.050905074924230576,0.02889595925807953,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584100127220154,0.050905440002679825,0.028891921043395996,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658394455909729,0.05089561268687248,0.028891513124108314,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6583784818649292,0.050892166793346405,0.02888312377035618,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6583683490753174,0.05089922249317169,0.028883319348096847,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6583603620529175,0.0508955642580986,0.02889181300997734,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6583638787269592,0.05090019851922989,0.02888944186270237,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6583736538887024,0.05090286210179329,0.028895843774080276,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658385694026947,0.05091347545385361,0.028900304809212685,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584081649780273,0.05092458426952362,0.02890894003212452,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584417223930359,0.050958052277565,0.028915034607052803,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584798693656921,0.05098939687013626,0.02891254797577858,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6585261821746826,0.05105218663811684,0.028895806521177292,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584964394569397,0.05125219002366066,0.028919463977217674,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6583099365234375,0.05191735923290253,0.029061181470751762,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.657867431640625,0.05329974368214607,0.0293418038636446,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.656941294670105,0.05534573271870613,0.030073069036006927,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6561298966407776,0.05789051577448845,0.0308318380266428,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6555966734886169,0.061173755675554275,0.031058315187692642,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6550156474113464,0.06470168381929398,0.0314544253051281,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6543594598770142,0.06876491010189056,0.031806204468011856,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6537796258926392,0.07323344796895981,0.032263826578855514,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6528081893920898,0.07780127972364426,0.03307237848639488,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6514657139778137,0.08253475278615952,0.034331321716308594,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6497765183448791,0.08711286634206772,0.036089662462472916,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.647725522518158,0.09165586531162262,0.03830314055085182,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6453566551208496,0.09643185883760452,0.040961217135190964,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.642516016960144,0.10124571621417999,0.04423850029706955,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6394604444503784,0.10603684186935425,0.0480339415371418,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6361469030380249,0.11076702177524567,0.052332449704408646,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6324716210365295,0.11507920175790787,0.057298265397548675,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6286191344261169,0.11914093792438507,0.0626649484038353,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6247883439064026,0.12302619963884354,0.06862502545118332,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6208062171936035,0.12661577761173248,0.0750286728143692,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6167683601379395,0.13000941276550293,0.0819520503282547,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6121479272842407,0.13310454785823822,0.08971267938613892,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5520603656768799,0.1489429622888565,0.20794056355953217,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5458256006240845,0.1484117954969406,0.22079621255397797,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5392449498176575,0.14757759869098663,0.23368503153324127,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5325591564178467,0.1466398686170578,0.24626792967319488,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5257940292358398,0.14558812975883484,0.25860705971717834,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5194351673126221,0.14428003132343292,0.2704313099384308,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5136183500289917,0.14277112483978271,0.28180041909217834,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5083166360855103,0.14109650254249573,0.292581707239151,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5040157437324524,0.13895726203918457,0.30299198627471924,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5006661415100098,0.13617804646492004,0.3127480745315552,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4978902041912079,0.13322745263576508,0.32204362750053406,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49565163254737854,0.13014602661132812,0.3308589458465576,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4939749240875244,0.12679152190685272,0.33923080563545227,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4923425018787384,0.12333173304796219,0.34721583127975464,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49118393659591675,0.12029630690813065,0.35453808307647705,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4902978837490082,0.11708668619394302,0.361625075340271,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4896303415298462,0.11378254741430283,0.36807721853256226,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4889915883541107,0.11043081432580948,0.374137818813324,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4881665110588074,0.10703575611114502,0.3797243535518646,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48726901412010193,0.10368230938911438,0.38480547070503235,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48635223507881165,0.10047905147075653,0.3894743025302887,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4856743514537811,0.0976346805691719,0.3936372101306915,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4853154718875885,0.09504596889019012,0.3974044919013977,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4850551187992096,0.09252461045980453,0.400819331407547,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4849252998828888,0.09006953239440918,0.40387651324272156,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48494571447372436,0.08752331137657166,0.4067058265209198,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48501840233802795,0.08494345098733902,0.40922003984451294,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48524603247642517,0.0826229676604271,0.4115604758262634,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48537373542785644,0.08103832602500916,0.41368094086647034,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.485516756772995,0.08004084974527359,0.41557392477989197,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4857873320579529,0.07927512377500534,0.41728758811950684,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4864376485347748,0.0786261335015297,0.41872578859329224,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.48740920424461365,0.07788237929344177,0.41991084814071655,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4886653423309326,0.07717511057853699,0.4209355115890503,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4901184141635895,0.07631056755781174,0.4217236340045929,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.491648405790329,0.07548332959413528,0.4224517047405243,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49323877692222595,0.0745033472776413,0.42293670773506165,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4958494305610657,0.07291600108146667,0.4232999086380005,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49857649207115173,0.07140780240297317,0.4231570363044739,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5014299750328064,0.06977097690105438,0.42278724908828735,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.501789927482605,0.06909269094467163,0.42306578159332275,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5024423599243164,0.06860356777906418,0.4229503571987152,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5028597116470337,0.0684904232621193,0.4228990375995636,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5026758909225464,0.06832155585289001,0.42293843626976013,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5023989081382751,0.06836649030447006,0.4229303002357483,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5020688772201538,0.06858102977275848,0.422784298658371,6,0,1,55,GBYK,small,right,large,left
