asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,968046071,9.184110135184851e-41,0.6441834568977356,0.05804441124200821,-0.043545980006456375,24547,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,964894996,2.2715048106705285e-42,0.6649609208106995,0.050717100501060486,0.02514985203742981,24074,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966256321,2.3499775246727182e-42,0.3364126682281494,0.2966761887073517,0.6587868928909302,-4041,1.6744185415140455e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6404585242271423,0.0530347116291523,-0.07120510935783386,-2361,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966479752,9.183970005338419e-41,0.6835393309593201,0.020371953025460243,0.007217966485768557,-30550,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,968169965,9.184110135184851e-41,0.6441689729690552,0.05806916952133179,-0.043538786470890045,24764,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,964900190,2.2715048106705285e-42,0.6649535298347473,0.05071587115526199,0.0251613799482584,23857,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966281901,2.3499775246727182e-42,0.3358877897262573,0.29804766178131103,0.660025954246521,-516,1.6744185415140455e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6404377222061157,0.053030505776405334,-0.07120707631111145,-2341,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966572283,9.183970005338419e-41,0.683575451374054,0.020395902916789055,0.007226265501230955,31204,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,969408565,9.184110135184851e-41,0.6441502571105957,0.05805693939328194,-0.04353762790560722,24980,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,964913552,2.2715048106705285e-42,0.6649478077888489,0.05071084946393967,0.025159601122140884,23641,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966114899,2.3499775246727182e-42,0.3335733413696289,0.29344308376312256,0.6526263356208801,-2703,1.6744185415140455e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6404074430465698,0.05301289260387421,-0.07120424509048462,-2323,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966335678,9.183970005338419e-41,0.6835805773735046,0.020396649837493896,0.007225675508379936,27437,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,969433336,9.184110135184851e-41,0.6440818905830383,0.05805891379714012,-0.04349365085363388,25194,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960638163,2.2715048106705285e-42,0.664948582649231,0.05070944130420685,0.025151163339614868,23428,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966057107,2.3499775246727182e-42,0.3322899639606476,0.28776273131370544,0.6468696594238281,-25789,1.67441994281251e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6403746604919434,0.05297471210360527,-0.07119423151016235,-2418,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966319976,9.183970005338419e-41,0.6835073828697205,0.02034047059714794,0.00721136387437582,23687,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967834214,9.184110135184851e-41,0.6440601348876953,0.05803035572171211,-0.04349592328071594,25408,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960558248,2.2715048106705285e-42,0.6649404764175415,0.05070860683917999,0.02514778822660446,23217,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966177426,2.3499775246727182e-42,0.33073297142982483,0.2836178243160248,0.6411198973655701,19430,1.6744213441109742e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,104,9.183689745645554e-41,0.6403355598449707,0.05295366793870926,-0.07117971032857895,-2577,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966562602,9.183970005338419e-41,0.683555543422699,0.020383741706609726,0.007218421436846256,19951,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,969054135,9.184110135184851e-41,0.6440329551696777,0.058006882667541504,-0.04349127411842346,25621,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960761744,2.2715048106705285e-42,0.6649354696273804,0.05070626735687256,0.025151891633868217,23007,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6403196454048157,0.05293487384915352,-0.07117225229740143,-2735,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966634492,9.183970005338419e-41,0.683564305305481,0.020381709560751915,0.007241598330438137,16414,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,969488580,9.184110135184851e-41,0.6440125107765198,0.05799750238656998,-0.043485648930072784,25833,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960513586,2.2715048106705285e-42,0.6649295687675476,0.05070947855710983,0.025153864175081253,22798,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966238079,2.352780121601368e-42,0.3357492983341217,0.29682356119155884,0.6597733497619629,9109,1.6744003246340093e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6403143405914307,0.0529252327978611,-0.07116041332483292,-2892,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966633640,9.183970005338419e-41,0.6835120916366577,0.020341292023658752,0.007233868353068829,12708,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967769420,9.184110135184851e-41,0.6440120339393616,0.05798115208745003,-0.043477945029735565,26044,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960312182,2.2715048106705285e-42,0.6649385690689087,0.05070869252085686,0.025156501680612564,22589,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966178373,2.352780121601368e-42,0.335923969745636,0.29759544134140015,0.6603192687034607,-25115,1.6744087324247953e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6403125524520874,0.052929311990737915,-0.07115163654088974,-3150,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966590615,9.183970005338419e-41,0.6835158467292786,0.020344248041510582,0.007238163147121668,9201,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,968115714,9.184110135184851e-41,0.6440125703811646,0.057993609458208084,-0.04346504434943199,26434,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960579669,2.2715048106705285e-42,0.6649556756019592,0.05071485787630081,0.025174932554364204,22382,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966197630,2.352780121601368e-42,0.33610931038856506,0.2979160249233246,0.6610687375068665,4503,1.6744255480063672e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6403085589408875,0.05293668061494827,-0.07111912965774536,-3142,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966787454,9.183970005338419e-41,0.6835752725601196,0.020393766462802887,0.007255395874381065,5522,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,969319076,9.184110135184851e-41,0.6440181136131287,0.05799661949276924,-0.0434504970908165,26821,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960870429,2.2715048106705285e-42,0.6649741530418396,0.05071967467665672,0.025190630927681923,22274,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966192730,2.352780121601368e-42,0.3357326090335846,0.29698535799980164,0.6585112810134888,-7599,1.6744171402155812e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.640300452709198,0.05294350162148476,-0.0710926279425621,-3496,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966720289,9.183970005338419e-41,0.6835924983024597,0.020410310477018356,0.007289543282240629,1546,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,969360268,9.184110135184851e-41,0.6440165638923645,0.05800461769104004,-0.04342062398791313,27207,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,960741942,2.2715048106705285e-42,0.6649763584136963,0.050724830478429794,0.025210972875356674,22166,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966324266,2.352780121601368e-42,0.33593061566352844,0.29760462045669556,0.6603410840034485,-32061,1.6744185415140455e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6402851343154907,0.052950408309698105,-0.07108194380998611,-3686,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966627389,9.183970005338419e-41,0.6835628151893616,0.02038152888417244,0.00728688295930624,-2103,1.485785663439766e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967993171,9.184110135184851e-41,0.6439962387084961,0.05799976363778114,-0.04340406879782677,27589,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
