asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
RigidBody,3,1.1685466766357422,0.016332494094967842,0.5720086693763733,-0.0009991999249905348,-0.0011410533916205168,0.0027238833718001842,0.9999951124191284,0.00016621949907857925,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,4,0.017150677740573883,0.012500283308327198,0.5790663957595825,-0.0045891497284173965,-0.004686655011028051,-0.0022245317231863737,0.9999760389328003,0.0003719643864315003,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,5,0.5877162218093872,0.01162137370556593,0.587752103805542,0.003875250229611993,-0.01598626933991909,-0.002195760142058134,0.9998623132705688,0.0001912703737616539,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,1,0.01627306267619133,0.008203817531466484,0.020838234573602676,-0.0024820577818900347,0.0007223843713290989,-0.0015629961853846908,0.9999954700469971,2.892405063903425e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,2,1.1531939506530762,0.014227204956114292,0.01845361664891243,0.0027099207509309053,0.001644529984332621,0.008382597006857395,0.9999598264694214,5.238580342847854e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,6,0.5148073434829712,0.03309604153037071,0.3165016770362854,0.0020923311822116375,-0.03452807292342186,-0.0007255899254232645,0.9994012713432312,0.0012570923427119851,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,3,1.16855788230896,0.016336888074874878,0.5720077753067017,-0.0003982905764132738,-0.0012956487480551004,0.0021528962533921003,0.9999967813491821,0.00016579382645431906,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,4,0.017149923369288444,0.012526631355285645,0.5790456533432007,-0.0030321585945785046,-0.004360952414572239,-0.0006093677948229015,0.9999857544898987,0.00037682647234760225,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,5,0.5877168774604797,0.011621840298175812,0.5877476930618286,0.003850560635328293,-0.01597745344042778,-0.0022834984119981527,0.9998623132705688,0.00018983120389748365,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,1,0.016273600980639458,0.00820644199848175,0.020836608484387398,-0.002092665759846568,0.0007675024680793285,-0.001689694938249886,0.9999960660934448,3.157711398671381e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,2,1.1531931161880493,0.01422914583235979,0.0184563510119915,0.0027947428170591593,0.0016779681900516152,0.008432913571596146,0.9999591112136841,4.850818368140608e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,6,0.5155482292175293,0.03303811326622963,0.31715577840805054,0.0026679865550249815,-0.03519117459654808,0.0005644649500027299,0.9993768930435181,0.0012013012310490012,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,3,1.1685442924499512,0.01633107289671898,0.572005569934845,-0.0006765639991499484,-0.0012627404648810625,0.00262594036757946,0.9999955892562866,0.00016206961299758404,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,4,0.017147865146398544,0.012528633698821068,0.5790414810180664,-0.0026188583578914404,-0.004313030280172825,-0.0003893591638188809,0.9999872446060181,0.0003730646276380867,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,5,0.5877159237861633,0.011624402366578579,0.5877474546432495,0.003948438446968794,-0.01594456098973751,-0.0022392254322767258,0.9998626708984375,0.00019032969430554658,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,1,0.016273459419608116,0.008205357939004898,0.02083619311451912,-0.001978006446734071,0.0008787603583186865,-0.001654808409512043,0.9999963045120239,2.971857611555606e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,2,1.1531856060028076,0.014239136129617691,0.01847025193274021,0.0025510883424431086,0.0010487213730812073,0.009313000366091728,0.9999529123306274,3.6196397559251636e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,6,0.5160489082336426,0.033055275678634644,0.31767112016677856,0.0020094828214496374,-0.035337816923856735,-6.351215415634215e-5,0.9993733763694763,0.001185338362120092,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,3,1.168545126914978,0.016339218243956566,0.5719886422157288,-0.0005107942270115018,-0.0014404774410650134,0.0023218032438308,0.9999961853027344,0.00015561998588964343,1,6,0,2,3,KBYG,large,right,small,left
